self_employed,income,amount,property_area,loan_status
N,4583.0,128.4,Rural,N
Y,3000.0,66.0,City,Y
N,6000.0,141.4,City,Y
Y,5417.0,267.4,City,Y
N,2333.0,95.3,City,Y
N,3036.0,158.2,Suburb,N
N,4006.0,168.6,City,Y
N,12841.0,349.3,Suburb,N
N,3200.0,70.3,City,Y
,2500.0,109.6,City,Y
N,3073.0,200.5,City,Y
N,1853.0,114.1,Rural,N
N,1299.0,17.5,City,Y
N,4950.0,125.2,City,Y
N,3596.0,100.8,City,Y
N,3510.0,76.9,City,N
N,4887.0,133.5,Rural,N
,2600.0,115.8,City,Y
N,7660.0,104.1,City,N
N,5955.0,315.5,City,Y
N,2600.0,116.1,Suburb,N
N,3365.0,112.4,Rural,N
,3717.0,151.1,Suburb,N
Y,9560.0,191.1,Suburb,Y
N,2799.0,122.6,Suburb,Y
N,4226.0,110.2,City,Y
N,1442.0,35.1,City,N
,3750.0,120.2,Suburb,Y
,4166.0,201.3,City,N
N,3167.0,74.5,City,N
Y,4692.0,106.2,Rural,N
N,3500.0,114.6,Suburb,Y
N,12500.0,320.5,Rural,N
N,1828.0,100.5,City,N
N,3667.0,144.4,Suburb,Y
N,4166.0,184.8,City,Y
N,3748.0,110.6,Suburb,Y
N,3600.0,80.2,City,N
N,1800.0,47.7,City,Y
N,2400.0,76.0,City,Y
N,3941.0,134.5,Suburb,Y
Y,4695.0,96.9,City,Y
N,3410.0,88.3,City,Y
N,5649.0,44.6,City,Y
N,5821.0,144.4,City,Y
N,2645.0,120.4,City,N
N,4000.0,144.8,Suburb,Y
N,1928.0,100.5,Suburb,Y
N,3086.0,121.0,Suburb,Y
N,4230.0,112.5,Suburb,N
N,4616.0,134.1,City,N
Y,11500.0,286.4,City,N
N,2708.0,97.9,Suburb,Y
N,2132.0,96.4,Suburb,Y
N,3366.0,135.0,Rural,N
N,8080.0,180.2,City,Y
N,3357.0,144.1,City,Y
N,2500.0,121.0,City,Y
N,3029.0,100.0,City,Y
Y,2609.0,165.8,Rural,N
N,4945.0,,Rural,N
N,4166.0,116.8,Suburb,N
N,5726.0,258.2,Suburb,N
N,3200.0,126.3,City,N
N,10750.0,312.5,City,Y
Y,7100.0,125.4,City,Y
N,4300.0,136.0,Suburb,N
N,3208.0,173.0,City,Y
Y,1875.0,97.4,Suburb,Y
N,3500.0,81.5,Suburb,Y
N,4755.0,95.3,Suburb,N
Y,5266.0,187.3,Suburb,Y
N,3750.0,113.4,City,N
N,3750.0,176.8,City,N
Y,1000.0,110.7,City,N
N,3167.0,180.4,Suburb,N
Y,3333.0,130.0,Suburb,Y
N,3846.0,111.8,Suburb,Y
N,1378.0,167.3,City,N
N,6000.0,265.6,Suburb,N
N,3988.0,50.0,City,Y
N,2366.0,136.7,Suburb,Y
N,3333.0,99.4,Suburb,Y
N,2500.0,104.5,Suburb,Y
N,8566.0,210.4,City,Y
N,5695.0,175.4,Suburb,Y
N,2958.0,131.6,Suburb,Y
N,6250.0,189.0,Suburb,Y
N,3273.0,81.1,City,Y
N,4133.0,122.3,Suburb,Y
N,3620.0,25.0,Suburb,Y
,6782.0,,City,N
N,2484.0,137.7,Suburb,Y
N,1977.0,50.2,Suburb,Y
N,4188.0,115.4,Suburb,Y
N,1759.0,131.6,Suburb,Y
N,4288.0,133.7,City,Y
N,4843.0,151.2,Suburb,Y
N,3052.0,100.9,City,Y
N,11417.0,225.8,City,Y
,7333.0,120.1,Rural,N
N,3800.0,216.9,City,N
N,2071.0,94.7,Suburb,Y
N,5316.0,136.8,City,Y
,2929.0,139.5,Suburb,Y
N,3572.0,152.2,Rural,N
